Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
0,AL,100005,ALBERTVILLE CITY,-0.35,0.0485825,-0.376,0.044,-0.54,0.04895335,-0.517,0.0457,-0.19,0.06896731,-0.141,0.0578,2594,2740,6,6,432.3,456.7
0,AL,100006,MARSHALL COUNTY,-0.461,0.04905144,-0.464,0.0444,-0.501,0.04980613,-0.497,0.0464,-0.0402,0.06988806,-0.0328,0.0584,2560,2555,6,6,426.7,425.8
8,AL,100007,HOOVER CITY,0.295,0.04819366,0.289,0.0437,0.405,0.0481879,0.401,0.0451,0.109,0.06813517,0.112,0.0573,6417,6259,6,6,1069.5,1043.2
0,AL,100008,MADISON CITY,0.469,0.0491932,0.428,0.0444,0.406,0.04858011,0.427,0.0454,-0.063,0.06912202,-0.00144,0.0579,5019,5296,6,6,836.5,882.7
0,AL,100011,LEEDS CITY,-0.378,0.05562497,-0.388,0.0492,-0.431,0.05597198,-0.422,0.0515,-0.053,0.07885845,-0.0346,0.0633,945,944,6,6,157.5,157.3
0,AL,100012,BOAZ CITY,-0.422,0.05428427,-0.367,0.0483,-0.0942,0.05466785,-0.143,0.0504,0.327,0.077042,0.225,0.0623,1098,1085,6,6,183.0,180.8
8,AL,100013,TRUSSVILLE CITY,0.355,0.05037818,0.32,0.0453,0.355,0.04984142,0.368,0.0465,-0.000402,0.07082426,0.0484,0.0589,2196,2292,6,6,366.0,382.0
4,AL,100030,ALEXANDER CITY,-0.377,0.05141664,-0.369,0.0462,-0.344,0.05299464,-0.351,0.049,0.0328,0.07383561,0.0188,0.0606,1391,1366,6,6,231.8,227.7
0,AL,100060,ANDALUSIA CITY,-0.342,0.05801451,-0.273,0.051,0.0364,0.05956436,-0.0288,0.0543,0.378,0.08315189,0.244,0.0655,819,807,6,6,136.5,134.5
2,AL,100090,ANNISTON CITY,-0.874,0.0564322,-0.873,0.05,-0.988,0.06025599,-0.977,0.0546,-0.114,0.08253472,-0.104,0.0651,786,835,6,6,131.0,139.2
0,AL,100100,ARAB CITY,0.198,0.05311755,0.204,0.0474,0.413,0.05344317,0.394,0.0495,0.215,0.07530349,0.19,0.0614,1205,1189,6,6,200.8,198.2
0,AL,100120,ATHENS CITY,-0.307,0.05211026,-0.302,0.0467,-0.257,0.05119051,-0.263,0.0476,0.0501,0.07305524,0.0384,0.0602,1749,2215,6,6,291.5,369.2
2,AL,100180,ATTALLA CITY,-0.383,0.05885973,-0.404,0.0514,-0.474,0.05665525,-0.46,0.0522,-0.0905,0.08164777,-0.0559,0.0646,630,638,6,6,105.0,106.3
0,AL,100185,SARALAND CITY,0.278,0.05423007,0.286,0.0482,0.502,0.05261523,0.482,0.0488,0.223,0.07556207,0.196,0.0615,1388,1421,6,6,231.3,236.8
1,AL,100188,CHICKASAW CITY,-0.957,0.07002915,-0.899,0.0593,-0.905,0.09808538,-0.907,0.0745,0.0518,0.11114067,-0.00819,0.077,464,839,5,3,92.8,279.7
5,AL,100189,SATSUMA CITY,-0.148,0.05730518,-0.14,0.0504,-0.0297,0.05769816,-0.044,0.0529,0.118,0.08123764,0.0956,0.0645,704,680,6,6,117.3,113.3
0,AL,100190,ALABASTER CITY,-0.148,0.04903366,-0.143,0.0443,-0.0529,0.04907179,-0.0615,0.0458,0.095,0.0693506,0.0812,0.0581,2819,2839,6,6,469.8,473.2
5,AL,100194,PELHAM CITY,-0.24,0.05171468,-0.237,0.0463,-0.203,0.05114444,-0.207,0.0476,0.0377,0.07271297,0.0305,0.06,1553,1678,6,6,258.8,279.7
5,AL,100195,PIKE ROAD CITY,-0.285,0.05667768,-0.251,0.0498,-0.0877,0.05223876,-0.114,0.0486,0.197,0.07705634,0.137,0.0622,977,1280,6,6,162.8,213.3
8,AL,100210,AUBURN CITY,0.377,0.05015356,0.335,0.0451,0.308,0.04905393,0.329,0.0458,-0.0689,0.07013033,-0.00563,0.0584,4097,4252,6,6,682.8,708.7
0,AL,100240,AUTAUGA COUNTY,-0.115,0.04843997,-0.137,0.0439,-0.211,0.04845187,-0.196,0.0453,-0.0958,0.06850494,-0.059,0.0575,4291,4187,6,6,715.2,697.8
0,AL,100270,BALDWIN COUNTY,-0.0207,0.04626319,-0.0402,0.0422,-0.0938,0.04669292,-0.0808,0.0438,-0.0731,0.06572204,-0.0406,0.0559,15103,14368,6,6,2517.2,2394.7
4,AL,100330,BESSEMER CITY,-0.916,0.05242413,-0.921,0.0469,-1.12,0.05413577,-1.1,0.05,-0.201,0.07530252,-0.178,0.0615,1651,1639,6,6,275.2,273.2
0,AL,100360,BIBB COUNTY,-0.668,0.05342594,-0.637,0.0476,-0.571,0.0531694,-0.591,0.0492,0.0974,0.07535672,0.0465,0.0614,1445,1350,6,6,240.8,225.0
7,AL,100390,BIRMINGHAM CITY,-1.02,0.04715876,-1.02,0.0429,-1.16,0.04861739,-1.15,0.0454,-0.133,0.06772677,-0.133,0.0571,10643,9996,6,6,1773.8,1666.0
0,AL,100420,BLOUNT COUNTY,-0.335,0.04810513,-0.334,0.0436,-0.305,0.04844292,-0.308,0.0453,0.0291,0.06825941,0.0265,0.0574,3450,3562,6,6,575.0,593.7
0,AL,100450,BREWTON CITY,-0.0781,0.06047676,-0.0735,0.0527,0.00432,0.05926974,-0.00529,0.0542,0.0824,0.08466979,0.0682,0.0662,532,551,6,6,88.7,91.8
8,AL,100480,BULLOCK COUNTY,-1.04,0.05847998,-1.03,0.0515,-1.14,0.06072939,-1.13,0.0552,-0.0986,0.08431104,-0.104,0.0662,700,708,6,6,116.7,118.0
0,AL,100510,BUTLER COUNTY,-0.873,0.05532774,-0.827,0.0491,-0.718,0.05423544,-0.749,0.0501,0.155,0.07749628,0.0779,0.0626,1366,1333,6,6,227.7,222.2
0,AL,100540,CALHOUN COUNTY,-0.321,0.04785551,-0.325,0.0434,-0.323,0.04830628,-0.322,0.0452,-0.00204,0.06798181,0.00287,0.0572,3854,3580,6,6,642.3,596.7
8,AL,100600,CHAMBERS COUNTY,-0.51,0.0513349,-0.533,0.0461,-0.677,0.05233858,-0.655,0.0485,-0.167,0.07329483,-0.121,0.0603,1567,1533,6,6,261.2,255.5
0,AL,100630,CHEROKEE COUNTY,-0.325,0.05094629,-0.314,0.0458,-0.273,0.05086991,-0.281,0.0473,0.0516,0.07198489,0.0322,0.0596,1751,1696,6,6,291.8,282.7
0,AL,100660,CHILTON COUNTY,-0.411,0.04860007,-0.424,0.044,-0.506,0.04858088,-0.495,0.0454,-0.0954,0.06870502,-0.0705,0.0577,3537,3516,6,6,589.5,586.0
2,AL,100690,CHOCTAW COUNTY,-0.885,0.06268033,-0.861,0.0544,-0.871,0.06356288,-0.88,0.0575,0.0147,0.08926757,-0.019,0.0684,555,463,6,6,92.5,77.2
0,AL,100720,CLARKE COUNTY,-0.456,0.0535247,-0.493,0.0478,-0.708,0.05565473,-0.671,0.0512,-0.253,0.07722674,-0.178,0.0624,1042,1016,6,6,173.7,169.3
2,AL,100750,CLAY COUNTY,-0.387,0.05470935,-0.391,0.0486,-0.405,0.05667683,-0.401,0.052,-0.0177,0.07879405,-0.0102,0.0632,850,878,6,6,141.7,146.3
5,AL,100780,CLEBURNE COUNTY,-0.217,0.05301912,-0.233,0.0473,-0.244,0.05199137,-0.235,0.0483,-0.0267,0.07424972,-0.00279,0.0607,1136,1150,6,6,189.3,191.7
0,AL,100810,COFFEE COUNTY,-0.272,0.05556911,-0.262,0.049,-0.175,0.05351196,-0.187,0.0496,0.0967,0.07706316,0.0755,0.0622,1106,1294,6,6,184.3,215.7
0,AL,100840,COLBERT COUNTY,-0.544,0.05317567,-0.522,0.0474,-0.458,0.0533889,-0.474,0.0494,0.0862,0.07533323,0.0475,0.0614,1190,1153,6,6,198.3,192.2
2,AL,100870,CONECUH COUNTY,-0.637,0.05907251,-0.63,0.0518,-0.688,0.05933203,-0.688,0.0542,-0.0513,0.08373424,-0.0572,0.0658,612,604,6,6,102.0,100.7
5,AL,100900,COOSA COUNTY,-0.672,0.06451709,-0.673,0.0556,-0.755,0.06561469,-0.746,0.0591,-0.0825,0.09202641,-0.073,0.0697,411,387,6,6,68.5,64.5
