StateAbbrev,NCESDistrictID,DistrictName,Online_months
AL,100005,Albertville City,0
AL,100006,Marshall County,0
AL,100007,Hoover City,8
AL,100008,Madison City,0
AL,100011,Leeds City,0
AL,100012,Boaz City,0
AL,100013,Trussville City,8
AL,100030,Alexander City,4
AL,100060,Andalusia City,0
AL,100090,Anniston City,2
AL,100100,Arab City,0
AL,100120,Athens City,0
AL,100180,Attalla City,2
AL,100185,Saraland City,0
AL,100188,Chickasaw City,1
AL,100189,Satsuma City,5
AL,100190,Alabaster City,0
AL,100194,Pelham City,5
AL,100195,Pike Road City,5
AL,100197,Acceleration Day and Evening Academy,0
AL,100199,University Charter School,0
AL,100201,Legacy Prep,0
AL,100202,Gulf Shores City,0
AL,100203,LEAD Academy,0
AL,100204,i3 Academy,8
AL,100210,Auburn City,8
AL,100240,Autauga County,0
AL,100270,Baldwin County,0
AL,100300,Barbour County,5
AL,100330,Bessemer City,4
AL,100360,Bibb County,0
AL,100390,Birmingham City,7
AL,100420,Blount County,0
AL,100450,Brewton City,0
AL,100480,Bullock County,8
AL,100510,Butler County,0
AL,100540,Calhoun County,0
AL,100600,Chambers County,8
AL,100630,Cherokee County,0
AL,100660,Chilton County,0
AL,100690,Choctaw County,2
AL,100720,Clarke County,0
AL,100750,Clay County,2
AL,100780,Cleburne County,5
AL,100810,Coffee County,0
AL,100840,Colbert County,0
AL,100870,Conecuh County,2
AL,100900,Coosa County,5
AL,100930,Covington County,0
AL,100960,Crenshaw County,0
AL,100990,Cullman City,7
AL,101020,Cullman County,0
AL,101050,Dale County,0
AL,101080,Daleville City,0
AL,101110,Dallas County,7
AL,101140,DeKalb County,0
AL,101170,Decatur City,8
AL,101200,Demopolis City,0
AL,101230,Dothan City,7
AL,101260,Elba City,3
AL,101290,Elmore County,8
AL,101320,Enterprise City,2
AL,101350,Escambia County,0
AL,101380,Etowah County,0
AL,101410,Eufaula City,0
AL,101440,Fairfield City,2
AL,101470,Fayette County,0
AL,101530,Florence City,8
AL,101560,Fort Payne City,0
AL,101590,Franklin County,0
AL,101620,Gadsden City,2
AL,101640,Geneva City,0
AL,101660,Geneva County,0
AL,101680,Greene County,7
AL,101690,Guntersville City,0
AL,101710,Hale County,0
AL,101720,Haleyville City,0
AL,101730,Hartselle City,8
AL,101740,Henry County,7
AL,101760,Homewood City,0
AL,101770,Houston County,0
AL,101800,Huntsville City,0
AL,101830,Jackson County,0
AL,101860,Jacksonville City,0
AL,101890,Jasper City,0
AL,101920,Jefferson County,0
AL,101950,Lamar County,0
AL,101980,Lanett City,5
AL,102010,Lauderdale County,2
AL,102040,Lawrence County,8
AL,102070,Lee County,0
AL,102100,Limestone County,0
AL,102130,Linden City,5
AL,102160,Lowndes County,7
AL,102190,Macon County,7
AL,102220,Madison County,0
AL,102250,Marengo County,0
AL,102310,Marion County,3
AL,102350,Midfield City,7
AL,102370,Mobile County,0
AL,102400,Monroe County,4
AL,102430,Montgomery County,2
AL,102480,Morgan County,8
AL,102490,Mountain Brook City,6
AL,102520,Muscle Shoals City,0
AL,102550,Oneonta City,2
AL,102580,Opelika City,0
AL,102610,Opp City,5
AL,102635,Oxford City,8
AL,102640,Ozark City,0
AL,102650,Pell City,5
AL,102670,Perry County,7
AL,102700,Phenix City,8
AL,102730,Pickens County,8
AL,102760,Piedmont City,0
AL,102790,Pike County,0
AL,102820,Randolph County,2
AL,102850,Roanoke City,0
AL,102880,Russell County,0
AL,102910,Russellville City,8
AL,102940,Scottsboro City,3
AL,102970,Selma City,7
AL,103000,Sheffield City,2
AL,103030,Shelby County,0
AL,103062,St Clair County,8
AL,103090,Sumter County,8
AL,103120,Sylacauga City,8
AL,103150,Talladega City,5
AL,103180,Talladega County,7
AL,103210,Tallapoosa County,0
AL,103240,Tallassee City,7
AL,103270,Tarrant City,5
AL,103300,Thomasville City,0
AL,103330,Troy City,8
AL,103360,Tuscaloosa City,0
AL,103390,Tuscaloosa County,5
AL,103420,Tuscumbia City,0
AL,103430,Vestavia Hills City,2
AL,103450,Walker County,0
AL,103480,Washington County,0
AL,103510,Wilcox County,7
AL,103540,Winfield City,0
AL,103580,Winston County,3
AK,200001,Lower Kuskokwim School District,9
AK,200003,Lower Yukon School District,10
AK,200004,Yupiit School District,10
AK,200005,Kashunamiut School District,6
AK,200006,Mount Edgecumbe High School Agency,0
AK,200007,Aleutians East Borough School District,0
AK,200010,Aleutian Region School District,0
AK,200020,Bering Strait School District,1
AK,200030,Bristol Bay Borough School District,6
AK,200050,Alaska Gateway School District,1
AK,200060,Cordova City School District,1
AK,200070,Copper River School District,0
AK,200090,Craig City School District,1
AK,200100,Delta-Greely School District,2
AK,200120,Dillingham City School District,3
AK,200130,Galena City School District,0
AK,200150,Ketchikan Gateway Borough School District,0
AK,200180,Anchorage School District,6
AK,200210,Juneau Borough School District,10
AK,200240,Sitka School District,2
AK,200270,Haines Borough School District,1
AK,200300,Hoonah City School District,2
AK,200360,Kake City School District,8
AK,200390,Kenai Peninsula Borough School District,4
AK,200450,Klawock City School District,4
AK,200480,Kodiak Island Borough School District,2
AK,200485,Lake and Peninsula Borough School District,0
AK,200510,Matanuska-Susitna Borough School District,1
AK,200520,Iditarod Area School District,0
AK,200525,Annette Island School District,9
AK,200540,Nenana City School District,8
AK,200570,Nome Public Schools,1
AK,200600,Fairbanks North Star Borough School District,6
AK,200610,North Slope Borough School District,10
AK,200625,Northwest Arctic Borough School District,10
AK,200630,Pelican City School District,6
AK,200660,Petersburg Borough School District,3
AK,200670,Pribilof School District,0
AK,200680,Saint Mary's School District,10
AK,200690,Skagway School District,0
AK,200700,Southeast Island School District,1
AK,200710,Southwest Region School District,2
AK,200715,Tanana City School District,0
AK,200720,Unalaska City School District,4
AK,200730,Chatham School District,5
AK,200760,Kuspuk School District,3
AK,200770,Denali Borough School District,11
AK,200775,Yukon Flats School District,3
AK,200780,Valdez City School District,0
AK,200810,Wrangell Public School District,0
AK,200840,Yakutat School District,0
AK,200862,Yukon-Koyukuk School District,0
AZ,400001,Cave Creek Unified District (4244),10
AZ,400003,Chino Valley Unified District (4474),10
AZ,400004,Clarkdale-Jerome Elementary District (4486),10
AZ,400005,Salome Consolidated Elementary District (4514),5
AZ,400016,Center for Academic Success Inc. (4191),10
AZ,400021,Colorado City Unified District (4370),0
AZ,400022,Vernon Elementary District (4162),9
AZ,400023,Pinon Unified District (4390),10
AZ,400026,Heber-Overgaard Unified District (4392),3
AZ,400031,Ridgeline Academy Inc. (4301),10
AZ,400033,Boys and Girls Clubs of the East Valley dba Mesa Art (4305),10
