Online_months,stateabb,sedaadmin,sedaadminname,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
0,AL,100005,ALBERTVILLE CITY,-0.377,0.03305219,-0.388,0.0307,-0.465,0.0324356,-0.454,0.0305,-0.0876,0.0463141,-0.0659,0.0403,2552,2737,6,6,425.3,456.2
0,AL,100006,MARSHALL COUNTY,-0.448,0.03262877,-0.444,0.0304,-0.425,0.033305,-0.427,0.0312,0.0226,0.04659123,0.0171,0.0405,2546,2557,6,6,424.3,426.2
8,AL,100007,HOOVER CITY,0.293,0.02936632,0.298,0.0277,0.416,0.03003668,0.407,0.0284,0.123,0.04195607,0.109,0.0373,6384,6256,6,6,1064.0,1042.7
0,AL,100008,MADISON CITY,0.568,0.03133981,0.548,0.0294,0.486,0.03085449,0.498,0.0292,-0.0821,0.0439014,-0.0505,0.0386,4983,5293,6,6,830.5,882.2
0,AL,100011,LEEDS CITY,-0.306,0.04531889,-0.305,0.0403,-0.298,0.0443874,-0.298,0.0403,0.00787,0.06342704,0.00708,0.0501,945,946,6,6,157.5,157.7
0,AL,100012,BOAZ CITY,-0.334,0.0428509,-0.312,0.0384,-0.206,0.04156901,-0.225,0.0381,0.129,0.05969856,0.0867,0.0482,1095,1082,6,6,182.5,180.3
8,AL,100013,TRUSSVILLE CITY,0.427,0.03370362,0.421,0.0313,0.454,0.03383301,0.453,0.0317,0.0274,0.04766593,0.032,0.0411,2195,2290,6,6,365.8,381.7
4,AL,100030,ALEXANDER CITY,-0.381,0.03827359,-0.381,0.035,-0.378,0.03848249,-0.377,0.0355,0.00355,0.05426914,0.00415,0.0452,1393,1366,6,6,232.2,227.7
0,AL,100060,ANDALUSIA CITY,-0.162,0.04893442,-0.157,0.0428,-0.123,0.04630921,-0.129,0.0419,0.0388,0.06737339,0.0278,0.0519,818,804,6,6,136.3,134.0
2,AL,100090,ANNISTON CITY,-0.736,0.04728075,-0.729,0.0416,-0.764,0.04613727,-0.757,0.0416,-0.0284,0.06595385,-0.0286,0.0513,786,834,6,6,131.0,139.0
0,AL,100100,ARAB CITY,0.249,0.04107314,0.236,0.0371,0.231,0.04007784,0.234,0.0368,-0.0182,0.05728968,-0.00231,0.0468,1206,1191,6,6,201.0,198.5
0,AL,100120,ATHENS CITY,-0.159,0.03781676,-0.149,0.0345,-0.0697,0.0353021,-0.0789,0.033,0.0892,0.05173662,0.0703,0.0436,1731,2217,6,6,288.5,369.5
2,AL,100180,ATTALLA CITY,-0.201,0.04668039,-0.237,0.0414,-0.374,0.04654756,-0.339,0.0419,-0.173,0.0657309,-0.102,0.0512,629,643,6,6,104.8,107.2
0,AL,100185,SARALAND CITY,0.258,0.03720596,0.27,0.0341,0.397,0.03796859,0.379,0.0351,0.139,0.05312215,0.109,0.0445,1387,1423,6,6,231.2,237.2
1,AL,100188,CHICKASAW CITY,-0.861,0.05657279,-0.77,0.0483,-0.533,0.06712015,-0.621,0.0496,0.328,0.09009993,0.149,0.057,558,839,6,3,93.0,279.7
5,AL,100189,SATSUMA CITY,0.0754,0.04594216,0.0503,0.041,-0.0128,0.04836446,0.00729,0.0432,-0.0882,0.06651975,-0.043,0.0516,704,680,6,6,117.3,113.3
0,AL,100190,ALABASTER CITY,-0.0419,0.03246404,-0.0318,0.0303,0.0755,0.0328409,0.0632,0.0309,0.117,0.04611036,0.0949,0.0401,2808,2837,6,6,468.0,472.8
5,AL,100194,PELHAM CITY,-0.000851,0.03786257,0.000495,0.0346,0.0582,0.03771115,0.0548,0.0349,0.0591,0.05343117,0.0543,0.0446,1537,1676,6,6,256.2,279.3
5,AL,100195,PIKE ROAD CITY,-0.0412,0.0427994,-0.00547,0.0383,0.203,0.03931036,0.169,0.0363,0.244,0.05816553,0.175,0.0473,971,1281,6,6,161.8,213.5
8,AL,100210,AUBURN CITY,0.287,0.03168262,0.287,0.0296,0.352,0.03211855,0.346,0.0302,0.0651,0.04505996,0.0591,0.0394,4049,4251,6,6,674.8,708.5
0,AL,100240,AUTAUGA COUNTY,0.0327,0.0302174,0.0157,0.0284,-0.0889,0.03083042,-0.0741,0.0291,-0.122,0.04314822,-0.0898,0.0381,4265,4189,6,6,710.8,698.2
