fips,stateabb,sedaadmin,sedaadminname,subject,subgroup,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
1,AL,100005,ALBERTVILLE CITY,mth,all,-.35,.0485825,-.376,.044,-.54,.04895335,-.517,.0457,-.19,.06896731,-.141,.0578,2594,2740,6,6,432.3,456.7
1,AL,100005,ALBERTVILLE CITY,mth,ecd,-.573,.05079306,-.59,.0445,-.674,.05170914,-.661,.048,-.101,.0724806,-.071,.0585,1087,1071,6,6,181.2,178.5
1,AL,100005,ALBERTVILLE CITY,mth,hsp,-.522,.04303376,-.547,.0387,-.661,.04370529,-.633,.0397,-.139,.06133529,-.0866,.0495,1347,1464,6,6,224.5,244
1,AL,100005,ALBERTVILLE CITY,mth,wht,-.111,.05326253,-.141,.0499,-.439,.05353595,-.404,.0504,-.328,.07551649,-.263,.0667,1067,1070,6,6,177.8,178.3
1,AL,100005,ALBERTVILLE CITY,rla,all,-.377,.03305219,-.388,.0307,-.465,.0324356,-.454,.0305,-.0876,.0463141,-.0659,.0403,2552,2737,6,6,425.3,456.2
1,AL,100005,ALBERTVILLE CITY,rla,ecd,-.698,.04399346,-.686,.0391,-.636,.04024511,-.642,.0372,.0617,.05955969,.0437,.0487,1066,1070,6,6,177.7,178.3
1,AL,100005,ALBERTVILLE CITY,rla,hsp,-.723,.04927194,-.727,.0434,-.683,.03681418,-.67,.0346,.0402,.06174908,.0561,.053,916,1464,4,6,229,244
1,AL,100005,ALBERTVILLE CITY,rla,wht,.0716,.03843655,.0451,.0365,-.303,.03854096,-.276,.0369,-.375,.05440321,-.321,.0495,1068,1068,6,6,178,178
1,AL,100006,MARSHALL COUNTY,mth,all,-.461,.04905144,-.464,.0444,-.501,.04980613,-.497,.0464,-.0402,.06988806,-.0328,.0584,2560,2555,6,6,426.7,425.8
1,AL,100006,MARSHALL COUNTY,mth,ecd,-.591,.04863983,-.601,.043,-.659,.05116498,-.65,.0475,-.0684,.07057848,-.0497,.0576,1795,1451,6,6,299.2,241.8
1,AL,100006,MARSHALL COUNTY,mth,hsp,-.632,.05035031,-.625,.0442,-.612,.05027272,-.613,.0448,.0206,.07116155,.012,.0545,679,770,6,6,113.2,128.3
1,AL,100006,MARSHALL COUNTY,mth,wht,-.378,.05125132,-.387,.0481,-.467,.05223175,-.452,.0494,-.0888,.07315259,-.0658,.065,1784,1696,6,6,297.3,282.7
1,AL,100006,MARSHALL COUNTY,rla,all,-.448,.03262877,-.444,.0304,-.425,.033305,-.427,.0312,.0226,.04659123,.0171,.0405,2546,2557,6,6,424.3,426.2
1,AL,100006,MARSHALL COUNTY,rla,ecd,-.59,.03596876,-.594,.0333,-.615,.03824092,-.608,.0354,-.0249,.05245635,-.014,.0447,1781,1452,6,6,296.8,242
1,AL,100006,MARSHALL COUNTY,rla,hsp,-.817,.04784775,-.798,.0441,-.597,.04547495,-.609,.0419,.22,.06598527,.189,.0557,665,770,6,6,110.8,128.3
1,AL,100006,MARSHALL COUNTY,rla,wht,-.294,.03335685,-.294,.032,-.396,.03479503,-.392,.0335,-.102,.04816105,-.0981,.0446,1784,1699,6,6,297.3,283.2
1,AL,100007,HOOVER CITY,mth,all,.295,.04819366,.289,.0437,.405,.0481879,.401,.0451,.109,.06813517,.112,.0573,6417,6259,6,6,1069.5,1043.2
1,AL,100007,HOOVER CITY,mth,blk,-.296,.05029244,-.298,.0456,-.174,.0498413,-.189,.0469,.122,.07073885,.109,.0606,1545,1467,6,6,257.5,244.5
1,AL,100007,HOOVER CITY,mth,ecd,-.361,.05018063,-.35,.044,-.196,.04997889,-.212,.0466,.165,.07078345,.138,.0576,1741,1559,6,6,290.2,259.8
1,AL,100007,HOOVER CITY,mth,hsp,-.253,.05886419,-.214,.0499,-.0403,.05479587,-.0867,.0485,.213,.08044436,.127,.0584,577,574,6,6,96.2,95.7
1,AL,100007,HOOVER CITY,mth,wht,.576,.05112553,.569,.048,.619,.05025628,.608,.0477,.0437,.07166839,.0389,.064,3483,3360,6,6,580.5,560
