stateabb,sedaadmin,sedaadminname,subject,ys_mn19_ol,ys_mn19_ol_se,ys_mn19_eb,ys_mn19_eb_se,ys_mn22_ol,ys_mn22_ol_se,ys_mn22_eb,ys_mn22_eb_se,ys_chg_ol,ys_chg_ol_se,ys_chg_eb,ys_chg_eb_se,tot_asmt19,tot_asmt22,cell19,cell22,avg_asmt19,avg_asmt22
AL,100005,ALBERTVILLE CITY,mth,-0.35,0.0485825,-0.376,0.044,-0.54,0.04895335,-0.517,0.0457,-0.19,0.06896731,-0.141,0.0578,2594,2740,6,6,432.3,456.7
AL,100005,ALBERTVILLE CITY,rla,-0.377,0.03305219,-0.388,0.0307,-0.465,0.0324356,-0.454,0.0305,-0.0876,0.0463141,-0.0659,0.0403,2552,2737,6,6,425.3,456.2
AL,100006,MARSHALL COUNTY,mth,-0.461,0.04905144,-0.464,0.0444,-0.501,0.04980613,-0.497,0.0464,-0.0402,0.06988806,-0.0328,0.0584,2560,2555,6,6,426.7,425.8
AL,100006,MARSHALL COUNTY,rla,-0.448,0.03262877,-0.444,0.0304,-0.425,0.033305,-0.427,0.0312,0.0226,0.04659123,0.0171,0.0405,2546,2557,6,6,424.3,426.2
AL,100007,HOOVER CITY,mth,0.295,0.04819366,0.289,0.0437,0.405,0.0481879,0.401,0.0451,0.109,0.06813517,0.112,0.0573,6417,6259,6,6,1069.5,1043.2
AL,100007,HOOVER CITY,rla,0.293,0.02936632,0.298,0.0277,0.416,0.03003668,0.407,0.0284,0.123,0.04195607,0.109,0.0373,6384,6256,6,6,1064.0,1042.7
AL,100008,MADISON CITY,mth,0.469,0.0491932,0.428,0.0444,0.406,0.04858011,0.427,0.0454,-0.063,0.06912202,-0.00144,0.0579,5019,5296,6,6,836.5,882.7
AL,100008,MADISON CITY,rla,0.568,0.03133981,0.548,0.0294,0.486,0.03085449,0.498,0.0292,-0.0821,0.0439014,-0.0505,0.0386,4983,5293,6,6,830.5,882.2
AL,100011,LEEDS CITY,mth,-0.378,0.05562497,-0.388,0.0492,-0.431,0.05597198,-0.422,0.0515,-0.053,0.07885845,-0.0346,0.0633,945,944,6,6,157.5,157.3
AL,100011,LEEDS CITY,rla,-0.306,0.04531889,-0.305,0.0403,-0.298,0.0443874,-0.298,0.0403,0.00787,0.06342704,0.00708,0.0501,945,946,6,6,157.5,157.7
AL,100012,BOAZ CITY,mth,-0.422,0.05428427,-0.367,0.0483,-0.0942,0.05466785,-0.143,0.0504,0.327,0.077042,0.225,0.0623,1098,1085,6,6,183.0,180.8
AL,100012,BOAZ CITY,rla,-0.334,0.0428509,-0.312,0.0384,-0.206,0.04156901,-0.225,0.0381,0.129,0.05969856,0.0867,0.0482,1095,1082,6,6,182.5,180.3
AL,100013,TRUSSVILLE CITY,rla,0.427,0.03370362,0.421,0.0313,0.454,0.03383301,0.453,0.0317,0.0274,0.04766593,0.032,0.0411,2195,2290,6,6,365.8,381.7
AL,100013,TRUSSVILLE CITY,mth,0.355,0.05037818,0.32,0.0453,0.355,0.04984142,0.368,0.0465,-0.000402,0.07082426,0.0484,0.0589,2196,2292,6,6,366.0,382.0
AL,100030,ALEXANDER CITY,mth,-0.377,0.05141664,-0.369,0.0462,-0.344,0.05299464,-0.351,0.049,0.0328,0.07383561,0.0188,0.0606,1391,1366,6,6,231.8,227.7
AL,100030,ALEXANDER CITY,rla,-0.381,0.03827359,-0.381,0.035,-0.378,0.03848249,-0.377,0.0355,0.00355,0.05426914,0.00415,0.0452,1393,1366,6,6,232.2,227.7
